Date Local,Latitude,Longitude,Ozone (ppm),State Name
2020-07-17,33.331111,-87.00361099999998,0.030588,Alabama
2020-07-18,33.331111,-87.00361099999998,0.030353,Alabama
2020-07-19,33.331111,-87.00361099999998,0.023882,Alabama
2020-07-20,33.331111,-87.00361099999998,0.028353,Alabama
2020-07-21,33.331111,-87.00361099999998,0.012294,Alabama
2020-07-22,33.331111,-87.00361099999998,0.0198,Alabama
2020-07-23,33.331111,-87.00361099999998,0.025235,Alabama
2020-07-24,33.331111,-87.00361099999998,0.017941,Alabama
2020-07-25,33.331111,-87.00361099999998,0.025118,Alabama
2020-07-26,33.331111,-87.00361099999998,0.021706,Alabama
2020-07-27,33.331111,-87.00361099999998,0.017412,Alabama
2020-07-28,33.331111,-87.00361099999998,0.023765,Alabama
2020-07-29,33.331111,-87.00361099999998,0.019824,Alabama
2020-07-30,33.331111,-87.00361099999998,0.017118,Alabama
2020-07-31,33.331111,-87.00361099999998,0.020412,Alabama
2020-07-01,33.545278,-86.54916700000003,0.027176,Alabama
2020-07-02,33.545278,-86.54916700000003,0.021,Alabama
2020-07-03,33.545278,-86.54916700000003,0.028412,Alabama
2020-07-04,33.545278,-86.54916700000003,0.024294,Alabama
2020-07-05,33.545278,-86.54916700000003,0.022176,Alabama
2020-07-06,33.545278,-86.54916700000003,0.023647,Alabama
2020-07-07,33.545278,-86.54916700000003,0.021059,Alabama
2020-07-08,33.545278,-86.54916700000003,0.026353,Alabama
2020-07-09,33.545278,-86.54916700000003,0.022588,Alabama
2020-07-16,33.545278,-86.54916700000003,0.0228,Alabama
2020-07-17,33.545278,-86.54916700000003,0.022882,Alabama
2020-07-18,33.545278,-86.54916700000003,0.028235,Alabama
2020-07-19,33.545278,-86.54916700000003,0.026235,Alabama
2020-07-20,33.545278,-86.54916700000003,0.0344709999999999,Alabama
2020-07-21,33.545278,-86.54916700000003,0.018941,Alabama
2020-07-22,33.545278,-86.54916700000003,0.020118,Alabama
2020-07-23,33.545278,-86.54916700000003,0.020118,Alabama
2020-07-24,33.545278,-86.54916700000003,0.016235,Alabama
2020-07-25,33.545278,-86.54916700000003,0.023588,Alabama
2020-07-26,33.545278,-86.54916700000003,0.017471,Alabama
2020-07-27,33.545278,-86.54916700000003,0.023529,Alabama
2020-07-28,33.545278,-86.54916700000003,0.025,Alabama
